
m p n_1
3 5 34
3 7 46
3 11 82
3 13 70

m p n_1
4 7 61
4 11 109
4 13 93
4 17 69
4 19 197

m p n_1
5 7 46
5 11 61
5 13 86
5 17 101
5 19 56
5 23 171
5 29 216
5 31 76

m p n_1
6 11 73
6 13 103
6 17 121
6 19 67
6 23 205
6 29 259
6 31 91
6 37 343
6 41 157
6 43 109

m p n_1
7 11 85
7 13 120
7 17 141
7 19 78
7 23 239
7 29 302
7 31 106
7 37 400
7 41 183
7 43 127
7 47 134
7 53 211

m p n_1
8 11 97
8 13 137
8 17 161
8 19 89
8 23 273
8 29 345
8 31 121
8 37 457
8 41 209
8 43 145
8 47 153
8 53 241
8 59 3201
8 61 177
8 67 617
8 71 193
8 73 281

m p n_1
9 11 109
9 13 154
9 17 181
9 19 100
9 23 307
9 29 388
9 31 136
9 37 514
9 41 235
9 43 163
9 47 172
9 53 271
9 59 3601
9 61 199
9 67 694
9 71 217
9 73 316
9 79 622
9 83 334
9 89 3331

m p n_1
10 13 171
10 17 201
10 19 111
10 23 341
10 29 431
10 31 151
10 37 571
10 41 261
10 43 181
10 47 191
10 53 301
10 59 4001
10 61 221
10 67 771
10 71 241
10 73 351
10 79 691
10 83 371
10 89 3701
10 97 4651
10 101 951
10 103 1611
10 107 871
10 109 621

m p n_1
11 13 188
11 17 221
11 19 122
11 23 375
11 29 474
11 31 166
11 37 628
11 41 287
11 43 199
11 47 210
11 53 331
11 59 4401
11 61 243
11 67 848
11 71 265
11 73 386
11 79 760
11 83 408
11 89 4071
11 97 5116
11 101 1046
11 103 1772
11 107 958
11 109 683
11 113 2245
11 127 2982
11 131 4995

m p n_1
12 17 241
12 19 133
12 23 409
12 29 517
12 31 181
12 37 685
12 41 313
12 43 217
12 47 229
12 53 361
12 59 4801
12 61 265
12 67 925
12 71 289
12 73 421
12 79 829
12 83 445
12 89 4441
12 97 5581
12 101 1141
12 103 1933
12 107 1045
12 109 745
12 113 2449
12 127 3253
12 131 5449
12 137 1249
12 139 5269
12 149 577
12 151 4249
12 157 2785

m p n_1
13 17 261
13 19 144
13 23 443
13 29 560
13 31 196
13 37 742
13 41 339
13 43 235
13 47 248
13 53 391
13 59 5201
13 61 287
13 67 1002
13 71 313
13 73 456
13 79 898
13 83 482
13 89 4811
13 97 6046
13 101 1236
13 103 2094
13 107 1132
13 109 807
13 113 2653
13 127 3524
13 131 5903
13 137 1353
13 139 5708
13 149 625
13 151 4603
13 157 3017
13 163 651
13 167 781
13 173 2107
13 179 677
13 181 2406

m p n_1
14 17 281
14 19 155
14 23 477
14 29 603
14 31 211
14 37 799
14 41 365
14 43 253
14 47 267
14 53 421
14 59 5601
14 61 309
14 67 1079
14 71 337
14 73 491
14 79 967
14 83 519
14 89 5181
14 97 6511
14 101 1331
14 103 2255
14 107 1219
14 109 869
14 113 2857
14 127 3795
14 131 6357
14 137 1457
14 139 6147
14 149 673
14 151 4957
14 157 3249
14 163 701
14 167 841
14 173 2269
14 179 729
14 181 2591
14 191 995
14 193 2227
14 197 1667
14 199 2297
14 211 1751

m p n_1
15 17 301
15 19 166
15 23 511
15 29 646
15 31 226
15 37 856
15 41 391
15 43 271
15 47 286
15 53 451
15 59 6001
15 61 331
15 67 1156
15 71 361
15 73 526
15 79 1036
15 83 556
15 89 5551
15 97 6976
15 101 1426
15 103 2416
15 107 1306
15 109 931
15 113 3061
15 127 4066
